run_id,condition,profile_id,class_level,term,learning_style,returned_rank,returned_topic,slug_match_type,slug_matched_value,slug_similarity,curr_match_type,curr_matched_value,curr_similarity,is_hallucinated
P1_jss1_visual__r1__grounded,grounded,P1_jss1_visual,JSS1,First,visual,1,fractions,exact,fractions,1.0,borderline,Fractions (1): Introduction and Equivalence,0.9,False
P1_jss1_visual__r1__grounded,grounded,P1_jss1_visual,JSS1,First,visual,2,numbers_and_numeration,exact,numbers_and_numeration,1.0,none,Development of Numbers and Numerals,0.632,False
P1_jss1_visual__r1__grounded,grounded,P1_jss1_visual,JSS1,First,visual,3,decimals,exact,decimals,1.0,borderline,"Decimals, Fractions and Percentages",0.9,False
P1_jss1_visual__r1__grounded,grounded,P1_jss1_visual,JSS1,First,visual,4,percentages,exact,percentages,1.0,borderline,"Decimals, Fractions and Percentages",0.9,False
P1_jss1_visual__r1__ungrounded,ungrounded,P1_jss1_visual,JSS1,First,visual,1,fractions,exact,fractions,1.0,borderline,Fractions (1): Introduction and Equivalence,0.9,False
P1_jss1_visual__r1__ungrounded,ungrounded,P1_jss1_visual,JSS1,First,visual,2,numbers_and_numeration,exact,numbers_and_numeration,1.0,none,Development of Numbers and Numerals,0.632,False
P1_jss1_visual__r1__ungrounded,ungrounded,P1_jss1_visual,JSS1,First,visual,3,introduction_to_algebra,none,linear_equations,0.41,none,Fractions (1): Introduction and Equivalence,0.515,True
P1_jss1_visual__r1__ungrounded,ungrounded,P1_jss1_visual,JSS1,First,visual,4,geometry,borderline,plane_geometry,0.9,none,Development of Numbers and Numerals,0.279,False
P1_jss1_visual__r1__ungrounded_readable,ungrounded_readable,P1_jss1_visual,JSS1,First,visual,1,Fractions,exact,fractions,1.0,borderline,Fractions (1): Introduction and Equivalence,0.9,False
P1_jss1_visual__r1__ungrounded_readable,ungrounded_readable,P1_jss1_visual,JSS1,First,visual,2,Numbers And Numeration,exact,numbers_and_numeration,1.0,none,Development of Numbers and Numerals,0.632,False
P1_jss1_visual__r1__ungrounded_readable,ungrounded_readable,P1_jss1_visual,JSS1,First,visual,3,Basic Operations,exact,basic_operations,1.0,borderline,Basic Operations on Whole Numbers and Decimals,0.9,False
P1_jss1_visual__r2__grounded,grounded,P1_jss1_visual,JSS1,First,visual,1,fractions,exact,fractions,1.0,borderline,Fractions (1): Introduction and Equivalence,0.9,False
P1_jss1_visual__r2__grounded,grounded,P1_jss1_visual,JSS1,First,visual,2,numbers_and_numeration,exact,numbers_and_numeration,1.0,none,Development of Numbers and Numerals,0.632,False
P1_jss1_visual__r2__grounded,grounded,P1_jss1_visual,JSS1,First,visual,3,decimals,exact,decimals,1.0,borderline,"Decimals, Fractions and Percentages",0.9,False
P1_jss1_visual__r2__grounded,grounded,P1_jss1_visual,JSS1,First,visual,4,percentages,exact,percentages,1.0,borderline,"Decimals, Fractions and Percentages",0.9,False
P1_jss1_visual__r2__ungrounded,ungrounded,P1_jss1_visual,JSS1,First,visual,1,fractions,exact,fractions,1.0,borderline,Fractions (1): Introduction and Equivalence,0.9,False
P1_jss1_visual__r2__ungrounded,ungrounded,P1_jss1_visual,JSS1,First,visual,2,numbers_and_numeration,exact,numbers_and_numeration,1.0,none,Development of Numbers and Numerals,0.632,False
P1_jss1_visual__r2__ungrounded,ungrounded,P1_jss1_visual,JSS1,First,visual,3,introduction_to_algebra,none,linear_equations,0.41,none,Fractions (1): Introduction and Equivalence,0.515,True
P1_jss1_visual__r2__ungrounded_readable,ungrounded_readable,P1_jss1_visual,JSS1,First,visual,1,Fractions,exact,fractions,1.0,borderline,Fractions (1): Introduction and Equivalence,0.9,False
P1_jss1_visual__r2__ungrounded_readable,ungrounded_readable,P1_jss1_visual,JSS1,First,visual,2,Numbers And Numeration,exact,numbers_and_numeration,1.0,none,Development of Numbers and Numerals,0.632,False
P1_jss1_visual__r2__ungrounded_readable,ungrounded_readable,P1_jss1_visual,JSS1,First,visual,3,Basic Operations,exact,basic_operations,1.0,borderline,Basic Operations on Whole Numbers and Decimals,0.9,False
P1_jss1_visual__r2__ungrounded_readable,ungrounded_readable,P1_jss1_visual,JSS1,First,visual,4,Integers,none,indices,0.533,none,"Decimals, Fractions and Percentages",0.279,True
P1_jss1_visual__r2__ungrounded_readable,ungrounded_readable,P1_jss1_visual,JSS1,First,visual,5,Simple Equations,none,simultaneous_equations,0.789,none,"Decimals, Fractions and Percentages",0.392,True
P1_jss1_visual__r3__grounded,grounded,P1_jss1_visual,JSS1,First,visual,1,fractions,exact,fractions,1.0,borderline,Fractions (1): Introduction and Equivalence,0.9,False
P1_jss1_visual__r3__grounded,grounded,P1_jss1_visual,JSS1,First,visual,2,numbers_and_numeration,exact,numbers_and_numeration,1.0,none,Development of Numbers and Numerals,0.632,False
P1_jss1_visual__r3__grounded,grounded,P1_jss1_visual,JSS1,First,visual,3,decimals,exact,decimals,1.0,borderline,"Decimals, Fractions and Percentages",0.9,False
P1_jss1_visual__r3__grounded,grounded,P1_jss1_visual,JSS1,First,visual,4,percentages,exact,percentages,1.0,borderline,"Decimals, Fractions and Percentages",0.9,False
