run_id,condition,profile_id,class_level,term,learning_style,returned_rank,returned_topic,slug_match_type,slug_matched_value,slug_similarity,curr_match_type,curr_matched_value,curr_similarity,is_hallucinated
P1_jss1_visual__r1__grounded,grounded,P1_jss1_visual,JSS1,First,visual,1,numbers_and_numeration,exact,numbers_and_numeration,1.0,none,Development of Numbers and Numerals,0.632,False
P1_jss1_visual__r1__grounded,grounded,P1_jss1_visual,JSS1,First,visual,2,fractions,exact,fractions,1.0,borderline,Fractions (1): Introduction and Equivalence,0.9,False
P1_jss1_visual__r1__grounded,grounded,P1_jss1_visual,JSS1,First,visual,3,basic_operations,exact,basic_operations,1.0,borderline,Basic Operations on Whole Numbers and Decimals,0.9,False
P1_jss1_visual__r1__grounded,grounded,P1_jss1_visual,JSS1,First,visual,4,decimals,exact,decimals,1.0,borderline,"Decimals, Fractions and Percentages",0.9,False
P1_jss1_visual__r1__grounded,grounded,P1_jss1_visual,JSS1,First,visual,5,percentages,exact,percentages,1.0,borderline,"Decimals, Fractions and Percentages",0.9,False
P1_jss1_visual__r1__grounded,grounded,P1_jss1_visual,JSS1,First,visual,6,ratio_and_proportion,exact,ratio_and_proportion,1.0,none,"Decimals, Fractions and Percentages",0.473,False
P1_jss1_visual__r1__grounded,grounded,P1_jss1_visual,JSS1,First,visual,7,indices,exact,indices,1.0,none,Factors and Multiples,0.357,False
P1_jss1_visual__r1__grounded,grounded,P1_jss1_visual,JSS1,First,visual,8,logarithms,exact,logarithms,1.0,none,Development of Numbers and Numerals,0.222,False
P1_jss1_visual__r1__grounded,grounded,P1_jss1_visual,JSS1,First,visual,9,surds,exact,surds,1.0,none,Factors and Multiples,0.231,False
P1_jss1_visual__r1__grounded,grounded,P1_jss1_visual,JSS1,First,visual,10,algebraic_expressions,exact,algebraic_expressions,1.0,none,"Decimals, Fractions and Percentages",0.321,False
P1_jss1_visual__r1__grounded,grounded,P1_jss1_visual,JSS1,First,visual,11,linear_equations,exact,linear_equations,1.0,none,Number Base System,0.353,False
P1_jss1_visual__r1__grounded,grounded,P1_jss1_visual,JSS1,First,visual,12,simultaneous_equations,exact,simultaneous_equations,1.0,none,Factors and Multiples,0.326,False
P1_jss1_visual__r1__grounded,grounded,P1_jss1_visual,JSS1,First,visual,13,quadratic_equations,exact,quadratic_equations,1.0,none,Basic Operations on Whole Numbers and Decimals,0.338,False
P1_jss1_visual__r1__grounded,grounded,P1_jss1_visual,JSS1,First,visual,14,inequalities,exact,inequalities,1.0,none,Factors and Multiples,0.424,False
P1_jss1_visual__r1__grounded,grounded,P1_jss1_visual,JSS1,First,visual,15,polynomials,exact,polynomials,1.0,none,Basic Operations on Whole Numbers and Decimals,0.316,False
P1_jss1_visual__r1__grounded,grounded,P1_jss1_visual,JSS1,First,visual,16,sets,exact,sets,1.0,none,Number Base System,0.273,False
P1_jss1_visual__r1__grounded,grounded,P1_jss1_visual,JSS1,First,visual,17,logic,exact,logic,1.0,none,Factors and Multiples,0.154,False
P1_jss1_visual__r1__grounded,grounded,P1_jss1_visual,JSS1,First,visual,18,plane_geometry,exact,plane_geometry,1.0,none,Number Base System,0.312,False
P1_jss1_visual__r1__grounded,grounded,P1_jss1_visual,JSS1,First,visual,19,angles,exact,angles,1.0,none,Factors and Multiples,0.37,False
P1_jss1_visual__r1__grounded,grounded,P1_jss1_visual,JSS1,First,visual,20,triangles,exact,triangles,1.0,none,Factors and Multiples,0.467,False
P1_jss1_visual__r1__grounded,grounded,P1_jss1_visual,JSS1,First,visual,21,circles,exact,circles,1.0,none,Factors and Multiples,0.357,False
P1_jss1_visual__r1__grounded,grounded,P1_jss1_visual,JSS1,First,visual,22,mensuration,exact,mensuration,1.0,none,"Decimals, Fractions and Percentages",0.348,False
P1_jss1_visual__r1__grounded,grounded,P1_jss1_visual,JSS1,First,visual,23,coordinate_geometry,exact,coordinate_geometry,1.0,none,Factors and Multiples,0.3,False
P1_jss1_visual__r1__grounded,grounded,P1_jss1_visual,JSS1,First,visual,24,vectors,exact,vectors,1.0,none,Factors and Multiples,0.357,False
P1_jss1_visual__r1__grounded,grounded,P1_jss1_visual,JSS1,First,visual,25,statistics,exact,statistics,1.0,none,Factors and Multiples,0.323,False
P1_jss1_visual__r1__grounded,grounded,P1_jss1_visual,JSS1,First,visual,26,probability,exact,probability,1.0,none,Number Base System,0.276,False
P1_jss1_visual__r1__grounded,grounded,P1_jss1_visual,JSS1,First,visual,27,sequence_and_series,exact,sequence_and_series,1.0,none,Factors and Multiples,0.45,False
P1_jss1_visual__r1__grounded,grounded,P1_jss1_visual,JSS1,First,visual,28,commercial_arithmetic,exact,commercial_arithmetic,1.0,none,Factors and Multiples,0.381,False
P1_jss1_visual__r1__grounded,grounded,P1_jss1_visual,JSS1,First,visual,29,matrices,exact,matrices,1.0,none,Factors and Multiples,0.345,False
P1_jss1_visual__r1__grounded,grounded,P1_jss1_visual,JSS1,First,visual,30,trigonometry,exact,trigonometry,1.0,none,Basic Operations on Whole Numbers and Decimals,0.276,False
P1_jss1_visual__r1__ungrounded,ungrounded,P1_jss1_visual,JSS1,First,visual,1,fractions,exact,fractions,1.0,borderline,Fractions (1): Introduction and Equivalence,0.9,False
P1_jss1_visual__r1__ungrounded,ungrounded,P1_jss1_visual,JSS1,First,visual,2,numbers_and_numeration,exact,numbers_and_numeration,1.0,none,Development of Numbers and Numerals,0.632,False
P1_jss1_visual__r1__ungrounded,ungrounded,P1_jss1_visual,JSS1,First,visual,3,decimals,exact,decimals,1.0,borderline,"Decimals, Fractions and Percentages",0.9,False
P1_jss1_visual__r1__ungrounded,ungrounded,P1_jss1_visual,JSS1,First,visual,4,percentages,exact,percentages,1.0,borderline,"Decimals, Fractions and Percentages",0.9,False
P1_jss1_visual__r1__ungrounded,ungrounded,P1_jss1_visual,JSS1,First,visual,5,ratio_and_proportion,exact,ratio_and_proportion,1.0,none,"Decimals, Fractions and Percentages",0.473,False
P1_jss1_visual__r1__ungrounded,ungrounded,P1_jss1_visual,JSS1,First,visual,6,basic_operations,exact,basic_operations,1.0,borderline,Basic Operations on Whole Numbers and Decimals,0.9,False
P1_jss1_visual__r1__ungrounded_readable,ungrounded_readable,P1_jss1_visual,JSS1,First,visual,1,Numbers And Numeration,exact,numbers_and_numeration,1.0,none,Development of Numbers and Numerals,0.632,False
P1_jss1_visual__r1__ungrounded_readable,ungrounded_readable,P1_jss1_visual,JSS1,First,visual,2,Fractions,exact,fractions,1.0,borderline,Fractions (1): Introduction and Equivalence,0.9,False
P1_jss1_visual__r1__ungrounded_readable,ungrounded_readable,P1_jss1_visual,JSS1,First,visual,3,Decimals and Percentages,borderline,decimals,0.9,none,"Decimals, Fractions and Percentages",0.814,False
P1_jss1_visual__r1__ungrounded_readable,ungrounded_readable,P1_jss1_visual,JSS1,First,visual,4,Ratios and Proportional Relationships,none,ratio_and_proportion,0.702,none,"Decimals, Fractions and Percentages",0.472,True
P1_jss1_visual__r1__ungrounded_readable,ungrounded_readable,P1_jss1_visual,JSS1,First,visual,5,Basic Operations,exact,basic_operations,1.0,borderline,Basic Operations on Whole Numbers and Decimals,0.9,False
P1_jss1_visual__r2__grounded,grounded,P1_jss1_visual,JSS1,First,visual,1,numbers_and_numeration,exact,numbers_and_numeration,1.0,none,Development of Numbers and Numerals,0.632,False
P1_jss1_visual__r2__grounded,grounded,P1_jss1_visual,JSS1,First,visual,2,fractions,exact,fractions,1.0,borderline,Fractions (1): Introduction and Equivalence,0.9,False
P1_jss1_visual__r2__grounded,grounded,P1_jss1_visual,JSS1,First,visual,3,basic_operations,exact,basic_operations,1.0,borderline,Basic Operations on Whole Numbers and Decimals,0.9,False
P1_jss1_visual__r2__grounded,grounded,P1_jss1_visual,JSS1,First,visual,4,decimals,exact,decimals,1.0,borderline,"Decimals, Fractions and Percentages",0.9,False
P1_jss1_visual__r2__grounded,grounded,P1_jss1_visual,JSS1,First,visual,5,percentages,exact,percentages,1.0,borderline,"Decimals, Fractions and Percentages",0.9,False
P1_jss1_visual__r2__grounded,grounded,P1_jss1_visual,JSS1,First,visual,6,ratio_and_proportion,exact,ratio_and_proportion,1.0,none,"Decimals, Fractions and Percentages",0.473,False
P1_jss1_visual__r2__grounded,grounded,P1_jss1_visual,JSS1,First,visual,7,indices,exact,indices,1.0,none,Factors and Multiples,0.357,False
P1_jss1_visual__r2__grounded,grounded,P1_jss1_visual,JSS1,First,visual,8,logarithms,exact,logarithms,1.0,none,Development of Numbers and Numerals,0.222,False
P1_jss1_visual__r2__grounded,grounded,P1_jss1_visual,JSS1,First,visual,9,surds,exact,surds,1.0,none,Factors and Multiples,0.231,False
P1_jss1_visual__r2__grounded,grounded,P1_jss1_visual,JSS1,First,visual,10,algebraic_expressions,exact,algebraic_expressions,1.0,none,"Decimals, Fractions and Percentages",0.321,False
P1_jss1_visual__r2__grounded,grounded,P1_jss1_visual,JSS1,First,visual,11,linear_equations,exact,linear_equations,1.0,none,Number Base System,0.353,False
P1_jss1_visual__r2__grounded,grounded,P1_jss1_visual,JSS1,First,visual,12,simultaneous_equations,exact,simultaneous_equations,1.0,none,Factors and Multiples,0.326,False
P1_jss1_visual__r2__grounded,grounded,P1_jss1_visual,JSS1,First,visual,13,quadratic_equations,exact,quadratic_equations,1.0,none,Basic Operations on Whole Numbers and Decimals,0.338,False
P1_jss1_visual__r2__grounded,grounded,P1_jss1_visual,JSS1,First,visual,14,inequalities,exact,inequalities,1.0,none,Factors and Multiples,0.424,False
P1_jss1_visual__r2__grounded,grounded,P1_jss1_visual,JSS1,First,visual,15,polynomials,exact,polynomials,1.0,none,Basic Operations on Whole Numbers and Decimals,0.316,False
P1_jss1_visual__r2__grounded,grounded,P1_jss1_visual,JSS1,First,visual,16,sets,exact,sets,1.0,none,Number Base System,0.273,False
P1_jss1_visual__r2__grounded,grounded,P1_jss1_visual,JSS1,First,visual,17,logic,exact,logic,1.0,none,Factors and Multiples,0.154,False
P1_jss1_visual__r2__grounded,grounded,P1_jss1_visual,JSS1,First,visual,18,plane_geometry,exact,plane_geometry,1.0,none,Number Base System,0.312,False
P1_jss1_visual__r2__grounded,grounded,P1_jss1_visual,JSS1,First,visual,19,angles,exact,angles,1.0,none,Factors and Multiples,0.37,False
P1_jss1_visual__r2__grounded,grounded,P1_jss1_visual,JSS1,First,visual,20,triangles,exact,triangles,1.0,none,Factors and Multiples,0.467,False
P1_jss1_visual__r2__grounded,grounded,P1_jss1_visual,JSS1,First,visual,21,circles,exact,circles,1.0,none,Factors and Multiples,0.357,False
P1_jss1_visual__r2__grounded,grounded,P1_jss1_visual,JSS1,First,visual,22,mensuration,exact,mensuration,1.0,none,"Decimals, Fractions and Percentages",0.348,False
P1_jss1_visual__r2__grounded,grounded,P1_jss1_visual,JSS1,First,visual,23,coordinate_geometry,exact,coordinate_geometry,1.0,none,Factors and Multiples,0.3,False
P1_jss1_visual__r2__grounded,grounded,P1_jss1_visual,JSS1,First,visual,24,vectors,exact,vectors,1.0,none,Factors and Multiples,0.357,False
P1_jss1_visual__r2__grounded,grounded,P1_jss1_visual,JSS1,First,visual,25,statistics,exact,statistics,1.0,none,Factors and Multiples,0.323,False
P1_jss1_visual__r2__grounded,grounded,P1_jss1_visual,JSS1,First,visual,26,probability,exact,probability,1.0,none,Number Base System,0.276,False
P1_jss1_visual__r2__grounded,grounded,P1_jss1_visual,JSS1,First,visual,27,sequence_and_series,exact,sequence_and_series,1.0,none,Factors and Multiples,0.45,False
P1_jss1_visual__r2__grounded,grounded,P1_jss1_visual,JSS1,First,visual,28,commercial_arithmetic,exact,commercial_arithmetic,1.0,none,Factors and Multiples,0.381,False
P1_jss1_visual__r2__grounded,grounded,P1_jss1_visual,JSS1,First,visual,29,matrices,exact,matrices,1.0,none,Factors and Multiples,0.345,False
P1_jss1_visual__r2__grounded,grounded,P1_jss1_visual,JSS1,First,visual,30,trigonometry,exact,trigonometry,1.0,none,Basic Operations on Whole Numbers and Decimals,0.276,False
P1_jss1_visual__r2__ungrounded,ungrounded,P1_jss1_visual,JSS1,First,visual,1,fractions,exact,fractions,1.0,borderline,Fractions (1): Introduction and Equivalence,0.9,False
P1_jss1_visual__r2__ungrounded,ungrounded,P1_jss1_visual,JSS1,First,visual,2,numbers_and_numeration,exact,numbers_and_numeration,1.0,none,Development of Numbers and Numerals,0.632,False
P1_jss1_visual__r2__ungrounded,ungrounded,P1_jss1_visual,JSS1,First,visual,3,basic_operations,exact,basic_operations,1.0,borderline,Basic Operations on Whole Numbers and Decimals,0.9,False
P1_jss1_visual__r2__ungrounded,ungrounded,P1_jss1_visual,JSS1,First,visual,4,decimals,exact,decimals,1.0,borderline,"Decimals, Fractions and Percentages",0.9,False
P1_jss1_visual__r2__ungrounded,ungrounded,P1_jss1_visual,JSS1,First,visual,5,percentages,exact,percentages,1.0,borderline,"Decimals, Fractions and Percentages",0.9,False
P1_jss1_visual__r2__ungrounded_readable,ungrounded_readable,P1_jss1_visual,JSS1,First,visual,1,Understanding Fractions as Parts of a Whole,borderline,fractions,0.9,none,"Decimals, Fractions and Percentages",0.487,False
P1_jss1_visual__r2__ungrounded_readable,ungrounded_readable,P1_jss1_visual,JSS1,First,visual,2,Introduction to Numbers and Numeration,borderline,numbers_and_numeration,0.9,none,Development of Numbers and Numerals,0.603,False
P1_jss1_visual__r2__ungrounded_readable,ungrounded_readable,P1_jss1_visual,JSS1,First,visual,3,Understanding Equivalent Fractions,borderline,fractions,0.9,none,"Decimals, Fractions and Percentages",0.435,False
P1_jss1_visual__r2__ungrounded_readable,ungrounded_readable,P1_jss1_visual,JSS1,First,visual,4,Operations with Fractions,borderline,fractions,0.9,none,"Decimals, Fractions and Percentages",0.433,False
P1_jss1_visual__r2__ungrounded_readable,ungrounded_readable,P1_jss1_visual,JSS1,First,visual,5,Place Value and Expanded Notation,none,ratio_and_proportion,0.453,none,Basic Operations on Whole Numbers and Decimals,0.354,True
P1_jss1_visual__r2__ungrounded_readable,ungrounded_readable,P1_jss1_visual,JSS1,First,visual,6,Basic Operations with Whole Numbers,borderline,basic_operations,0.9,none,Basic Operations on Whole Numbers and Decimals,0.765,False
P1_jss1_visual__r3__grounded,grounded,P1_jss1_visual,JSS1,First,visual,1,numbers_and_numeration,exact,numbers_and_numeration,1.0,none,Development of Numbers and Numerals,0.632,False
P1_jss1_visual__r3__grounded,grounded,P1_jss1_visual,JSS1,First,visual,2,fractions,exact,fractions,1.0,borderline,Fractions (1): Introduction and Equivalence,0.9,False
